;year_month;Count
291;01/04/2014;105
292;01/05/2014;108
293;01/06/2014;140
294;01/07/2014;108
295;01/08/2014;90
296;01/09/2014;81
297;01/10/2014;73
298;01/11/2014;71
299;01/12/2014;78
300;01/01/2015;82
301;01/02/2015;142
302;01/03/2015;90
303;01/04/2015;77
304;01/05/2015;79
305;01/06/2015;80
306;01/07/2015;192
307;01/08/2015;111
308;01/09/2015;146
309;01/10/2015;89
310;01/11/2015;142
311;01/12/2015;63
312;01/01/2016;123
313;01/02/2016;89
314;01/03/2016;160
315;01/04/2016;171
316;01/05/2016;105
317;01/06/2016;91
318;01/07/2016;108
319;01/08/2016;77
320;01/09/2016;81
321;01/10/2016;137
322;01/11/2016;96
323;01/12/2016;98
324;01/01/2017;89
325;01/02/2017;84
326;01/03/2017;94
327;01/04/2017;101
328;01/05/2017;591
329;01/06/2017;134
330;01/07/2017;143
331;01/08/2017;106
332;01/09/2017;108
333;01/10/2017;75
334;01/11/2017;83
335;01/12/2017;118
336;01/01/2018;1015
337;01/02/2018;719
338;01/03/2018;384
339;01/04/2018;251
340;01/05/2018;215
341;01/08/2018;458
342;01/09/2018;157
343;01/10/2018;181
344;01/11/2018;255
345;01/12/2018;241
346;01/01/2019;139
347;01/02/2019;126
348;01/03/2019;189
349;01/04/2019;134
350;01/05/2019;105
351;01/06/2019;93
352;01/08/2019;101
353;01/09/2019;125
354;01/10/2019;123
355;01/11/2019;129
356;01/12/2019;116
357;01/01/2020;217
358;01/02/2020;111
359;01/03/2020;101
360;01/04/2020;106
361;01/05/2020;108
362;01/07/2020;232
363;01/08/2020;206
364;01/09/2020;127
365;01/10/2020;573
366;01/11/2020;237
367;01/12/2020;180
368;01/01/2021;147
369;01/02/2021;135
370;01/03/2021;140
371;01/04/2021;88
372;01/05/2021;93
373;01/06/2021;79
374;01/07/2021;283
375;01/08/2021;207
376;01/09/2021;145
377;01/10/2021;143
378;01/11/2021;98
379;01/12/2021;138
380;01/01/2022;243
381;01/02/2022;165
382;01/03/2022;125
383;01/04/2022;116
384;01/05/2022;133
385;01/06/2022;103
386;01/07/2022;135
387;01/08/2022;127
388;01/09/2022;112
389;01/10/2022;154
390;01/11/2022;106
391;01/12/2022;114
392;01/01/2023;121
393;01/02/2023;130
394;01/03/2023;134
395;01/04/2023;102
396;01/05/2023;120
397;01/06/2023;136
398;01/07/2023;115
